rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
2,cimetidine,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.23,21.28545,1.4552,0.00957,3.16307
2,cimetidine,repurposing_candidate,8A2B,EGFR,L858R,-0.09,-5.50527,1.44348,0.26639,5.46151
2,cimetidine,repurposing_candidate,8FMI,KRAS,WT,-0.78,-4.26964,0.78002,0.71028,5.11878
2,crizotinib,multi_kinase,3POZ,EGFR,WT,-0.59,-8.03858,1.03293,0.90201,8.02638
2,crizotinib,multi_kinase,4I24,EGFR,T790M,-0.64,-8.4229,1.11235,0.87419,8.31812
2,crizotinib,multi_kinase,4LDJ,KRAS,G12C,-1.59,-6.40113,2.04337,0.09132,6.05473
2,crizotinib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.61,-5.22532,1.12806,0.66445,7.74804
2,crizotinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-1.87,-6.87875,1.22996,0.23975,6.16149
2,crizotinib,multi_kinase,8A2B,EGFR,L858R,-0.76,-6.45959,0.43005,0.69464,7.56399
2,crizotinib,multi_kinase,8FMI,KRAS,WT,-1.31,-5.46168,1.58425,0.05479,6.20349
2,dacomitinib,egfr_family,3POZ,EGFR,WT,-0.07,-8.67101,0.66352,0.96449,8.39935
2,dacomitinib,egfr_family,4I24,EGFR,T790M,0.04,-9.32872,1.12006,0.96495,8.32068
2,dacomitinib,egfr_family,4LDJ,KRAS,G12C,-0.82,-5.2171,1.16988,0.07201,6.21145
2,dacomitinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.5,-6.70846,2.47728,0.31066,7.38684
2,dacomitinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-1.82,-6.54476,2.75436,0.06577,5.6469
2,dacomitinib,egfr_family,8A2B,EGFR,L858R,-0.14,-7.48271,0.8434,0.80942,7.51809
2,dacomitinib,egfr_family,8FMI,KRAS,WT,-1.03,-5.9628,1.17089,0.05538,5.56799
2,dasatinib,multi_kinase,3POZ,EGFR,WT,-0.45,-6.07491,1.36931,0.53176,7.56215
2,dasatinib,multi_kinase,4I24,EGFR,T790M,-0.36,-8.7533,0.82528,0.90382,7.95624
2,dasatinib,multi_kinase,4LDJ,KRAS,G12C,-1.83,-5.20491,2.07119,0.15665,5.8836
2,dasatinib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.85,-5.4615,5.93869,0.09407,5.52688
2,dasatinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-2.89,-5.89728,3.75046,0.58403,6.51132
